audio,text
train_converted/1.wav,li be e mih kiann lan lan san san long be tsiau tsng
train_converted/2.wav,suah ka li tim tioh
train_converted/3.wav,kiu lang ooh
train_converted/4.wav,gua khah siunn ma si tshu lai e kau a
train_converted/5.wav,si kan kau ah thang ho loh khi hioh khun
train_converted/6.wav,i iong tsue au e khui lat beh lai to hop
train_converted/7.wav,gua siunn tioh ah li tsit ma na theh khi hoo siu kuan a honnh i tsuat tui m ka lan theh e lah
train_converted/8.wav,iu ki Clinton ka tsiong kiat tai liong kam kim lian kiat khi koh khah khuah e sia hue bo ping ting e bun te
train_converted/9.wav,tak ke long kau e si lan tsiah tang tse tshut hai kuan nia hing li
train_converted/10.wav,li tsit ma tai tsi na m bian liong tsa ka gua kong
train_converted/11.wav,Cheese khau bi e pizza gua siong ai tsiah
train_converted/12.wav,suah be ki tsit kong gua tsit e pak too iau kah kan na honnh kue mi e ke kui a leh
train_converted/13.wav,kau hit e am oo am mi pik ua si ui long an tsing e si ma li e sim tsiu tsiam tsiam kam kak koo tuann put an kiann hiann in ui i long m bat tsit e ti tsit khuan am sam e soo tsai ke mi soo i ma li tsi u pho kau a ti i e sin pinn m kann khun lai teh tiunn ti
train_converted/14.wav,i kong po siu e ki tok kau thuan the tsha kah tsin tua siann m koh kong khah peh e in si bo kui tsiah niau a bo siann iau kin
train_converted/15.wav,kong
train_converted/16.wav,ti tang kiann tse tse lang teh gi lun in siann nih u hiah ni tua jiau luan khah tua bin si in ui king tshat lam sam puih to khi thai lang soo i teh tsham siang jian au kiam tshai m tsun king tshat ha to kan ta hoo in ha thui a tshin tshiunn se kok king tshat e iunn ti tsap it ho jit siong ting e tsian lam ho tso sam lip hut jian huat hue ti tso se po e kang lai pat e tsian tsun phai tsui ping lai tau phah hue m ku sam lip e hue ioh khoo u huat hue tsun tsiu liam tiau ti hai te si siong e ping tsin tse ia tshue long bo sin si e u lak pah mia iau bue tsai khi hue e in tuann
train_converted/17.wav,gua thiann tioh li beh ke ah
train_converted/18.wav,lai ooh ho tsiah e inn a ooh mua a phang kong kong ang tau a tinn but but kin lai be ho tsiah e inn a ooh han tsing li tua siann leh huah be
train_converted/19.wav,hia e thoo tau ka peh peh hoo khui
train_converted/20.wav,tui bin tshue lai e hiong hong ok hong kong hong tshue kah i kha poo be un
train_converted/21.wav,li tso kue siann mih piann sau e khang khue tso e si tsun ai tsu i siann hue
train_converted/22.wav,tsui tshia to ah
train_converted/23.wav,gua e lai
train_converted/24.wav,tso li hong sim u gua ti tsia it ting lai jioo bu lah
train_converted/25.wav,bo ah li tsit poo siann mih hue hannh
train_converted/26.wav,m tsai gua tsit ki tshiu ki a si sann G e ah si si G e tshiu ki a
train_converted/27.wav,ti tsap pai tshia ho kau pai kin e soo tsai ka tshia tsiah piau hian e tshut tshia e sing ling
train_converted/28.wav,kui e bin siau loh khi tioh ke tsiah tsit kua
train_converted/29.wav,kak hue a hong phah phai tua jip khi a biau e sann tu a lai sann tu a tsa to eh tsinn tsinn a m koh a biau ka huai ku au tshau e sann a kun long sak tsit pinn lau tsit tua ui hoo kak hue a thang ku
train_converted/30.wav,tsi lak bo ai thak tsheh e gin a siann mih kho long m khi siong tsi u to tsit tsiat kho bo huat too khuat sik
train_converted/31.wav,li ka mih kiann thuan khi FTP hoo gua ho bo
train_converted/32.wav,ah huan a he ki kah khi iu si be iong tsit tso hue e na tso hue si e pok tsa oo
train_converted/33.wav,ka tsai tsuan poo long hoo gua ioh ioh tioh
train_converted/34.wav,pun tsiann si kui phian tshan hng tsit ma suah penn penn penn ng ngiuh ngiuh tsuan hoo lok koo muai a thun khi lai
train_converted/35.wav,gua tshing an ne u sui ah bo sui
train_converted/36.wav,tsit ki tik ko tng tng tng
train_converted/37.wav,tse si tsit e u lat e sin ho e huat tong i e tsing ti bing iu lai kin tue i e ling to
train_converted/38.wav,loo tng leh tai tsui kong tan tai ho se e khong khong ku li
train_converted/39.wav,gua kau tsing tshiktsap tsi e bang tsam u tsit phinn iu nng ui hak tsia Gordon Adams kah Richard Sokolsky sia e bun tsiunn to si tsit e khuann huat
train_converted/40.wav,liong ioh khoo khio ti penn tsing
train_converted/41.wav,li kam tsai iann lin ang ti gua khau u tsa boo
train_converted/42.wav,kiann lah
train_converted/43.wav,gua peh bo tsiah kuan
train_converted/44.wav,tshu pinn keh piah bo sik sai
train_converted/45.wav,tshue be lak e hong tshue hong lu thau hong tshue pue lu kuan
train_converted/46.wav,tsiah kau lau tsiah tsai si
train_converted/47.wav,sam pat
train_converted/48.wav,a biau ka in se ho se khuainn soo hue a na e pian kah hue pa li niau to tsiann siu khi sui ka tan tua pun so thang lin
train_converted/49.wav,a pah
train_converted/50.wav,thui tsian li iong Ubuntu khuann mai a i senn liau kah Windows kang khuan a kang khuan
train_converted/51.wav,puann ping suann si an tsuann kan tann tshun puann ping leh i ling gua hit tsit puann si tsau ui to ui khi leh tong te u tsit e koo su liu thuan loh lai
train_converted/52.wav,ui hua lian tshi khu tsia kau hong tian honnh tsha put to ai ji tsap ji khi looh
train_converted/53.wav,li tioh po tiong oo
train_converted/54.wav,tak ke be tsin tsing ai sing tshi tsiah ho tsiah tsiah be phainn tsiah mai be be tng khi bo lang tsiah ma phah sng na be khah tse tiam guan e the lan pau khi lai tsng siunn a an ne khah ho kuann bian tsinn ti hing li siunn
train_converted/55.wav,tsiah se han to tsiah kut lat
train_converted/56.wav,ma lang tse si khu kong soo e loo sian sinn kai siau e lang gua su bun leh lai tsai ia ho ah gua tsai honnh gua ho leh
train_converted/57.wav,ho lah gua lai tai pak ka li mng khuann u bo
train_converted/58.wav,a kong kong koo hoo sun a thiann
train_converted/59.wav,lan bin a tsai to beh lai khi tshit tho a li ai ka kha bang tsing li hoo ho
train_converted/60.wav,khah tsiann eh
