id,text
1,l k h eh ai h
2,h a s i l h k l ong kh a l ong kh h h l ong k a s a h ts ts h a s k i a s i kh h h a h
3,h a h a kh a k a h ts kh a kh s s h h ong kh ong k ong h s e s t
4,ts a kh h a ts a i a k a k i a k a h a s k a k e s i k ong l h ong s a h tsh tsh ai h k ts i h ong kh i
5,mh a l a s a l a i k l i k ong kh i ts
6,l a k a k a l i k h a kh i i h a k a s l l a s s i
7,l l a s i h a s a h h s i h s u l i kh h k ong k ong h h e s i s
8,a l i l a kh a k a h a s i ts k ai ts i k ong k i h ong ai h k ong k i ai ts s i h a l ong
9,l ts s a h l ong h kh i l a ts h l ong k i k ai s
10,l a k a i k a h a k h k k i ong ts i s s i ai i h
11,l h a h k i k k i a kh a ts a s i s k ong kh h s i h s i k ong s an s h a s h i k i kh h s k i s k i s k ong h h h h h h i h ong l l ong t i h k an ts h
12,h an ts it ts ai kh i k a k a l ai ai ai h a ts
13,h a l a s i k l a kh
14,h a k o h a h a h ah
15,s l h l ong i ts l a k a h
16,k k l a l a l a l a k s i ts h h s a l an ts h a k oo
17,h l a l a h l a ts h a l a e l
18,h a l a k a h k i s l a l ong k a h a h h ai s ts ts s i h ong k ong s i l a h l ong ts ong s i h a l ah
19,ts l a l e s i k h l ong ts k ong k ai s k ong k a s u k i
20,h a l h a l a ts s i s
21,ts a s i k an ts i ts a kh l ong h h k ong k i h ong k i a h kh
22,h kh s h a k a s i
23,h a k k kh k k h i s h
24,s s i s l a l h a k h a k ong l ong h a h s l ong ong h a l ong k ong h h s h a k h ts h
25,a i a s i k i k ong l ong l a s i h i l ai l a h
26,l s i l a t s h i h l a k ai l a h k ong k ong i h
27,h a ts k k i s s h l ong k ong s i k a kh ong k ong s i h h a s i h h ong i ai ts k i
28,l a s l i a h a s i l k h s i h e s i k h k ai kh i s i
29,s l a l l a s k ong h k i h a s k h an ts l ong i k ong k h s a s l ong h h h a kh ong h s h
30,h k i i a s a l a s ts i
31,l ts l a k a l i k l h
32,h l an ts k a kh i a h kh ai kh ai l ah
33,h k l a kh h a ts k i a h i ong s i l ong k l h a h a k ong ong k i h s l ai kh an ai ts i
34,h a l a k a ts ts s l a h a e l ong k i h ong kh i k k a l ong i l ah
35,ts a kh l a kh a k a h i h a l a l a l
36,h l a eh l a i ai l ah
37,ts k a ts a s h a s i a k a s u h ai s k h h ong i s h l ong h h ts l a k i h
38,h s a i s k a k a h h ai
39,h a kh a l a l a l a k h a h a h h a l a l a kh h
40,h a h a h a ts i k ai h k a k i s l h h h h a s i s i ts ong ts k i h ai kh a h a kh a k ah
41,h a l an ts
42,l k ai ts i a ts i s i s l ong kh h
43,h a t h i k ong t ai a h k l h a i h l ong i ts a i k a tsh l an tsh
44,s s k oo s a l
45,l s i k k h k i k ts it ts l a k ai l ai
46,h a l a l a a k ong h h a e s a l a h a h a h ah
47,h a k h a h
48,h a ts h k a s h a h a h a k a h s l ts h l ai ts s s
49,s a k h ts i a h s i
50,h ah
51,l a k a l ai s i ts s k a h a k ong h h ong k ong l ai s k a l ong ai h a kh l h h ai e l
52,h ts l k a kh a s i h k ong a s k an ts
53,mh a l a k a s i i ts a ai h h i
54,h i h a k i a k a ts a ong k i k k ong k i k a k a l ong ts h i t s u i
55,s a k a l ai s i ai ts i
56,h a kh l a l
57,h i s l an ts s i s h h i h a i s l an kh
58,l k l eh l ah
59,h a k a kh h s i s k ai kh i h ts k ong h k ong kh a h a k ah
60,ts it k ong kh l i a k s s u l i l a l ong h ai h
61,ts an ts h ai ts i kh kh h h s ts kh a l ong k a kh h a l ah
62,h a l a l a l a kh l
63,l a l a k i l ong e s
64,h a kh i k a ts a h k i ts k a s i kh ong ai ts a k ong l a h
65,s a s i s a h a kh i k
66,l k a h a s i k s ong kh l s l ong k ong k ong ong s s e s i t
67,h h h a l h ah
68,s kh a kh i a ong l a tsh a kh a h l a h ah
69,ts l a s i h a h a l ah
70,h ts it l ai s i ong i h h ts l ong ong ong k ong s l a h k ong i s
71,ts l l a k ai kh k s a l a s i kh h a l l h a h ong l ai kh i
72,h an ts a k i ts a ts i h i kh a h i ong kh a l ong h s
73,l a ts i kh eh k a k
74,l a k a h h a l a s i h ai s h a k a l an ts a l ong ong h ong h ong kh i
75,h a k a l a h a tsh l ai kh s
76,i kh i h a e k l a ts
77,h a tsh a k h a h ai s i h
78,tsh ai ts h
79,h
80,l i l ai s i h i i ong i i h a s an ts a k a k h a k ong kh s h
81,h a k a s i l
82,ts s h i s ts a s i kh h a l a k h
83,ts k a k a ts k ong l ong k k i h a k k i k s kh ai h
84,ts s k l a k a l a t ts ts h a l ai ai ts l i ai ts
85,ts a kh i ai s i h l a k k i k ong s a h ong kh h ts i ts h ai s i h k
86,h a s a l a l a eh k ah
87,ts a ts it h a s k i l a h a k a kh
88,l kh a l a l a s i s h h a kh a l a k a s i k a l a s a s i h ah
89,s l a k i h h a h h ai s i k ts ts a k a h ong e ts i h s k i i t
90,ts h k k a l ong j s s l i a s a h a k ong l a s s h s ts h ai s a h a h h ts h h ong h ong k a l a k a l ong h a s h h h h l ong ts i a s h s h l ong s i h k ong l ong h h a h
91,s i a e k a i l ah
92,ts a s a s a s i h h a h a s h h a ts l ong s i l ah
93,mh a s l ah
94,l a i ts a k a l a h
95,mh a h eh l ah
96,l s kh i k ong h ai ts i l ai kh l ah
97,h a l a i k k a l a k a h l l ong k i k ong kh a s i s kh a k ah
98,h h a kh l ai ts i s kh i ts ai s i ai s i h i kh ong k k ong h i e s a k ong l
99,h a k kh ts
100,h a k l ai k i ah
101,h a kh a s h h a k s i s i ts h k i k ong ts s kh a k ong l i k k ai h a h
102,h a kh i a h a l a h a l h i a k h h a l a s s
103,h a s i
104,s l a k a k a s i a h h h s i k s
105,l k k ong i s e s s
106,l k k l h t k a ong l a ts a k a s i s i h a ts it s l h ong l ong kh i k ong kh i h i k h
107,ts a k h h a s i h h k h a l h s kh a h a h h a h a s h k ai s i s h a l kh i k l a kh l
108,l tsh l a l a l a l ai k a h a h ah
109,h s i kh ts a k ong ai s i a l s a l a h h l h ts i k i h l i
110,h h a l a h h a i k h a ai s i s i ts k a s a k o l
111,h s h a l a s j i s ts k h
112,s s i kh h ts a k ong i k ai k a h ts a k ong h a kh k k i e s s h ts k l i
113,s l a ts i e k a k a s i h a l ai ts
114,l a s i h ah
115,h a k a ts h h a ts k ai k i
116,mh a l
117,h a s
118,l a h a s i h k a s a s i s ong i i e s l s k h ong k ong t l ong k ong ts s
119,h a k a l a h a kh a s i a l a ai t kh l ai ts i h
120,h i kh i h ai i h a k h a kh h h a k k a k h h
121,ts a k a h h a kh ong ts k ah
122,s l h a k ong t h a ts a k i h ah
123,k kh s i k a k l a k ong k kh i h ong h h l h k i ts h h ai s s h h an ts a k ong k h s s i ong k k ong ai ts l ong k i
124,mh a l ai l i l h a l ai kh
125,l k a h an k ai ts i s a k a h a k a k ong k a h a i ts
126,h a h s an ts ts kh l k ai kh a l
127,l a h h ai k a ts s h a
128,h h h l a k e s l ai kh i a e h
129,h a l a l a h k ai kh i kh h a s l ah
130,ts i k i a s i s a kh a s i a a s
131,l l a k h s i j s i h s i k h a k l ong h h i s u h l ah
132,l a k e s i k k h h ong t e s s k k ong s l h s i h ong k a s h
133,l ts it k a k a kh a kh l ong kh i s l a h kh ong h s s s u l a h a k ong h k ai ts i h ong t ai k i i
134,h an ts ai l a l ah
